NMAI ARK,NMAI Internal EMu ID,Term,Scope Note,Used for,Language Notes,Entire Tree,Level 1,Level 2,Level 3,Level 4,Level 5,Level 6,Level 7
http://n2t.net/ark:/65665/sz87c428724-22f4-41e8-aa43-ab9fc840256c,NMAICulture_2708,Owasco (archaeological culture),,,,North America - Woodlands - Northeast - Woodland Tradition (archaeological culture) - Late Woodland Tradition (archaeological culture) - Owasco (archaeological culture),North America,Woodlands,Northeast,Woodland Tradition (archaeological culture),Late Woodland Tradition (archaeological culture),Owasco (archaeological culture),
http://n2t.net/ark:/65665/sz87f8da6c1-e6ec-4960-8768-bffe94bfff45,NMAICulture_2695,Late Woodland Tradition (archaeological culture),,,,North America - Woodlands - Northeast - Woodland Tradition (archaeological culture) - Late Woodland Tradition (archaeological culture),North America,Woodlands,Northeast,Woodland Tradition (archaeological culture),Late Woodland Tradition (archaeological culture),,
http://n2t.net/ark:/65665/sz8318ed235-6516-4d20-ac91-c3e34a21c07e,NMAICulture_2693,Middle Woodland Tradition (archaeological culture),,,,North America - Woodlands - Northeast - Woodland Tradition (archaeological culture) - Middle Woodland Tradition (archaeological culture),North America,Woodlands,Northeast,Woodland Tradition (archaeological culture),Middle Woodland Tradition (archaeological culture),,
http://n2t.net/ark:/65665/sz84fef9669-c599-4273-bdc1-b53a9855dece,NMAICulture_2690,Woodland Tradition (archaeological culture),,,,North America - Woodlands - Northeast - Woodland Tradition (archaeological culture),North America,Woodlands,Northeast,Woodland Tradition (archaeological culture),,,
http://n2t.net/ark:/65665/sz84a1792c3-ddf5-4b88-9dc2-c51df065b130,NMAICulture_83,Northeast,,,,North America - Woodlands - Northeast,North America,Woodlands,Northeast,,,,
http://n2t.net/ark:/65665/sz852f72ec7-4a90-4d2f-825b-9b878801f885,NMAICulture_22,Woodlands,,,,North America - Woodlands,North America,Woodlands,,,,,
http://n2t.net/ark:/65665/sz80760d500-265c-420b-89d3-1a855cb302c9,NMAICulture_6,North America,,,,North America,North America,,,,,,
http://n2t.net/ark:/65665/sz873d99862-cbe0-4374-935a-b1fb2a356c42,NMAICulture_1220,Native Hawaiian,,,,Oceania - Hawaii - Native Hawaiian,Oceania,Hawaii,Native Hawaiian,,,,
http://n2t.net/ark:/65665/sz80350f5bc-c8fa-4ed5-af84-8a44932ad2a2,NMAICulture_23,Hawaii,,,,Oceania - Hawaii,Oceania,Hawaii,,,,,
http://n2t.net/ark:/65665/sz8e27a1861-8816-4aa9-901b-e44ad2d31078,NMAICulture_1221,Maori,,,,Oceania - New Zealand - Maori,Oceania,New Zealand,Maori,,,,
http://n2t.net/ark:/65665/sz84e075681-7f74-42aa-bceb-30bf3aacdad4,NMAICulture_24,New Zealand,,,,Oceania - New Zealand,Oceania,New Zealand,,,,,
http://n2t.net/ark:/65665/sz82c5fffc2-ae6e-4966-8791-3d8b5cdde209,NMAICulture_1222,Polynesian,,,,Oceania - Polynesia - Polynesian,Oceania,Polynesia,Polynesian,,,,
http://n2t.net/ark:/65665/sz8184611fa-3d36-411e-8919-282cb4217e64,NMAICulture_25,Polynesia,,,,Oceania - Polynesia,Oceania,Polynesia,,,,,
http://n2t.net/ark:/65665/sz8eefedde5-a3e2-4c90-9767-0dcec59351ac,NMAICulture_7,Oceania,,,,Oceania,Oceania,,,,,,
http://n2t.net/ark:/65665/sz8a59b4717-6ff9-4618-80c7-56f5c773809e,NMAICulture_2728,Panzaleo (archaeological culture),,,,Panzaleo (archaeological culture),Panzaleo (archaeological culture),,,,,,
http://n2t.net/ark:/65665/sz87a09fb64-0628-4ce5-8138-512d14b9a86d,NMAICulture_1861,Brazilian Indians,,,,South America - Amazonia - Brazilian Indians,South America,Amazonia,Brazilian Indians,,,,
http://n2t.net/ark:/65665/sz8b769578a-1fe7-4b3c-b358-20db3760372a,NMAICulture_117,Amanayé (Ararandeura),,Arara ; Ararandeuara,Language Family info:  Tupi/Tupi-Guarani/Subgroup VIII,South America - Amazonia - Eastern Amazonia - Amanayé (Ararandeura),South America,Amazonia,Eastern Amazonia,Amanayé (Ararandeura),,,
http://n2t.net/ark:/65665/sz85d9ffe21-1e31-418a-a1c3-70862fe903fe,NMAICulture_149,Caboclos (Brazilian mestizos),,,,South America - Amazonia - Eastern Amazonia - Caboclos (Brazilian mestizos),South America,Amazonia,Eastern Amazonia,Caboclos (Brazilian mestizos),,,
http://n2t.net/ark:/65665/sz8eb5f1352-ea31-46a9-aecf-a789b6b80bb1,NMAICulture_225,Guajajára (Guajajara),"Questionable term: some need verification.  Catalogue card says Guayayani; Guajajára are in Maranhao state, Brazil, which matches object provenience",Guajajara; Guazazzara; Tenetehar; Tenetehára,Language Family info:  Tupi/Tupi-Guarani/Subgroup IV,South America - Amazonia - Eastern Amazonia - Guajajára (Guajajara),South America,Amazonia,Eastern Amazonia,Guajajára (Guajajara),,,
http://n2t.net/ark:/65665/sz89bcbf234-08ac-4458-b0b9-0b7734e16fb9,NMAICulture_264,Ka'apor,,Urubu; Urubú; Kaapor; Kaaporté; Caapor,Language Family info:  Tupi/Tupi-Guarani/Subgroup VIII,South America - Amazonia - Eastern Amazonia - Ka'apor,South America,Amazonia,Eastern Amazonia,Ka'apor,,,
http://n2t.net/ark:/65665/sz826c4ae6c-ad0c-46e2-a2f5-c367d4c96093,NMAICulture_2910,Marajoara/Marajó (archaeological culture),,,,South America - Amazonia - Eastern Amazonia - Marajoara/Marajó (archaeological culture),South America,Amazonia,Eastern Amazonia,Marajoara/Marajó (archaeological culture),,,
