id,code-2,description,new_code,new_desc
379,rup,Aromanian; Arumanian; Macedo-Romanian,rup,Macedo-Romanian
380,rus,Russian,rus,Russian
381,sad,Sandawe,sad,Sandawe
382,sag,Sango,sag,Sango
383,sah,Yakut,sah,Yakut
384,sai,South American Indian (Other),sai,South American Indian languages
385,sal,Salishan languages,sal,Salishan languages
386,sam,Samaritan Aramaic,sam,Samaritan Aramaic
387,san,Sanskrit,san,Sanskrit
388,sas,Sasak,sas,Sasak
389,sat,Santali,sat,Santali
390,scn,Sicilian,scn,Sicilian
391,sco,Scots,sco,Scots
392,sel,Selkup,sel,Selkup
393,sem,Semitic languages,sem,Semitic languages
394,sga,"Irish, Old (to 900)",sga,Old Irish (to 900)
395,sgn,Sign Languages,sgn,sign languages
396,shn,Shan,shn,Shan
397,sid,Sidamo,sid,Sidamo
398,sin,Sinhala; Sinhalese,sin,Sinhala
399,sio,Siouan languages,sio,Siouan languages
400,sit,Sino-Tibetan languages,sit,Sino-Tibetan languages
401,sla,Slavic languages,sla,Slavic languages
402,slo,Slovak,slk,Slovak
403,slk,Slovak,svk,Slovakian Sign Language
404,slv,Slovenian,slv,Slovenian
405,sma,Southern Sami,sma,Southern Sami
406,sme,Northern Sami,sme,Northern Sami
407,smi,Sami languages,smi,Sami languages
408,smj,Lule Sami,smj,Lule Sami
409,smn,Inari Sami,smn,Inari Sami
410,smo,Samoan,smo,Samoan
411,sms,Skolt Sami,sms,Skolt Sami
412,sna,Shona,sna,Shona
413,snd,Sindhi,snd,Sindhi
414,snk,Soninke,snk,Soninke
415,sog,Sogdian,sog,Sogdian
416,som,Somali,som,Somali
417,son,Songhai languages,son,Songhai languages
418,sot,"Sotho, Southern",sot,Southern Sotho
419,spa,Spanish; Castilian,spa,Spanish
420,srd,Sardinian,srd,Sardinian
421,srn,Sranan Tongo,srn,Sranan Tongo
422,srp,Serbian,srp,Serbian
423,srr,Serer,srr,Serer
424,ssa,Nilo-Saharan languages,ssa,Nilo-Saharan languages
425,ssw,Swati,ssw,Swati
426,suk,Sukuma,suk,Sukuma
427,sun,Sundanese,sun,Sundanese
428,sus,Susu,sus,Susu
429,sux,Sumerian,sux,Sumerian
430,swa,Swahili,swa,Swahili (macrolanguage)
431,swe,Swedish,swe,Swedish
432,syc,Classical Syriac,syc,Classical Syriac
433,syr,Syriac,syr,Syriac
434,tah,Tahitian,tah,Tahitian
435,tai,Tai languages,tai,Tai languages
436,tam,Tamil,tam,Tamil
437,tat,Tatar,tat,Tatar
438,tel,Telugu,tel,Telugu
439,tem,Timne,tem,Timne
440,ter,Tereno,ter,Tereno
441,tet,Tetum,tet,Tetum
442,tgk,Tajik,tgk,Tajik
443,tgl,Tagalog,tgl,Tagalog
444,tha,Thai,tha,Thai
445,tib,Tibetan,bod,Tibetan
446,bod,Tibetan,otb,Old Tibetan
447,tig,Tigre,tig,Tigre
448,tir,Tigrinya,tir,Tigrinya
449,tiv,Tiv,tiv,Tiv
450,tkl,Tokelau,tkl,Tokelau
451,tlh,Klingon; tlhIngan-Hol,tlh,Klingon
452,tli,Tlingit,tli,Tlingit
453,tmh,Tamashek,tmh,Tamashek
454,tog,Tonga (Nyasa),tog,Tonga (Nyasa)
455,ton,Tonga (Tonga Islands),ton,Tonga (Tonga Islands)
456,tpi,Tok Pisin,tpi,Tok Pisin
457,tsi,Tsimshian,tsi,Tsimshian
458,tsn,Tswana,tsn,Tswana
459,tso,Tsonga,tso,Tsonga
460,tuk,Turkmen,tuk,Turkmen
461,tum,Tumbuka,tum,Tumbuka
462,tup,Tupi languages,tup,Tupi languages
463,tur,Turkish,tur,Turkish
464,tut,Altaic languages,tut,Altaic languages
465,tvl,Tuvalu,tvl,Tuvalu
466,twi,Twi,twi,Twi
467,tyv,Tuvinian,tyv,Tuvinian
468,udm,Udmurt,udm,Udmurt
469,uga,Ugaritic,uga,Ugaritic
470,uig,Uighur; Uyghur,uig,Uighur
471,ukr,Ukrainian,ukr,Ukrainian
472,umb,Umbundu,umb,Umbundu
473,und,Undetermined,und,Undetermined
474,urd,Urdu,urd,Urdu
475,uzb,Uzbek,uzb,Uzbek
476,vai,Vai,vai,Vai
477,ven,Venda,ven,Venda
478,vie,Vietnamese,vie,Vietnamese
479,vol,Volapük,vol,Volapük
480,vot,Votic,vot,Votic
481,wak,Wakashan languages,wak,Wakashan languages
482,wal,Walamo,wal,Wolaytta
483,war,Waray,war,Waray (Philippines)
484,was,Washo,was,Washo
485,wel,Welsh,cym,Welsh
486,cym,Welsh,owl,Old Welsh
487,wen,Sorbian languages,wen,Sorbian languages
488,wln,Walloon,wln,Walloon
489,wol,Wolof,wol,Wolof
490,xal,Kalmyk; Oirat,xal,Kalmyk
491,xho,Xhosa,xho,Xhosa
492,yao,Yao,yao,Yao
493,yap,Yapese,yap,Yapese
494,yid,Yiddish,yid,Yiddish
495,yor,Yoruba,yor,Yoruba
496,ypk,Yupik languages,ypk,Yupik languages
497,zap,Zapotec,zap,Zapotec
498,zbl,Blissymbols; Blissymbolics; Bliss,zbl,Blissymbols
499,zen,Zenaga,zen,Zenaga
500,zgh,Standard Moroccan Tamazight,zgh,Standard Moroccan Tamazight
501,zha,Zhuang; Chuang,zha,Zhuang
502,znd,Zande languages,znd,Zande languages
503,zul,Zulu,zul,Zulu
504,zun,Zuni,zun,Zuni
505,zxx,No linguistic content; Not applicable,zxx,No linguistic content
506,zza,Zaza; Dimili; Dimli; Kirdki; Kirmanjki; Zazaki,zza,Zaza
